sep=;
CNAE;CNAE_numerico;Secao;Secao_descricao;Divisao;Grupo;Classe;Subclasse;Atividade;CBMPE_nivel;CBMPE_descricao;Anexo;Nivel_de_risco;Descricao_do_nivel;Dispensa_licenciamento_previo;Pagina_DOE;Alterado_por_errata
2223-4/00;2223400;C;Indústrias de transformação;22;222;2223-4;00;Fabricação de tubos e acessórios de material plástico para uso na construção;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;18;Não
2229-3/01;2229301;C;Indústrias de transformação;22;222;2229-3;01;Fabricação de artefatos de material plástico para uso pessoal e doméstico;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;18;Não
2229-3/02;2229302;C;Indústrias de transformação;22;222;2229-3;02;Fabricação de artefatos de material plástico para usos industriais;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;18;Não
2229-3/03;2229303;C;Indústrias de transformação;22;222;2229-3;03;Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;18;Não
2229-3/99;2229399;C;Indústrias de transformação;22;222;2229-3;99;Fabricação de artefatos de material;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;18;Não
2311-7/00;2311700;C;Indústrias de transformação;23;231;2311-7;00;Fabricação de vidro plano e de segurança;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2312-5/00;2312500;C;Indústrias de transformação;23;231;2312-5;00;Fabricação de embalagens de vidro;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2319-2/00;2319200;C;Indústrias de transformação;23;231;2319-2;00;Fabricação de artigos de vidro;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2320-6/00;2320600;C;Indústrias de transformação;23;232;2320-6;00;Fabricação de cimento;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2330-3/01;2330301;C;Indústrias de transformação;23;233;2330-3;01;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2330-3/02;2330302;C;Indústrias de transformação;23;233;2330-3;02;Fabricação de artefatos de cimento para uso na construção;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2330-3/03;2330303;C;Indústrias de transformação;23;233;2330-3;03;Fabricação de artefatos de fibrocimento para uso na construção;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2330-3/04;2330304;C;Indústrias de transformação;23;233;2330-3;04;Fabricação de casas pré-moldadas de concreto;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2330-3/05;2330305;C;Indústrias de transformação;23;233;2330-3;05;Preparação de massa de concreto e argamassa para construção;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2330-3/99;2330399;C;Indústrias de transformação;23;233;2330-3;99;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2341-9/00;2341900;C;Indústrias de transformação;23;234;2341-9;00;Fabricação de produtos cerâmicos refratários;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2342-7/01;2342701;C;Indústrias de transformação;23;234;2342-7;01;Fabricação de azulejos e pisos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2342-7/02;2342702;C;Indústrias de transformação;23;234;2342-7;02;Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2349-4/01;2349401;C;Indústrias de transformação;23;234;2349-4;01;Fabricação de material sanitário de cerâmica;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2349-4/99;2349499;C;Indústrias de transformação;23;234;2349-4;99;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2391-5/01;2391501;C;Indústrias de transformação;23;239;2391-5;01;Britamento de pedras, exceto associado à extração;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2391-5/02;2391502;C;Indústrias de transformação;23;239;2391-5;02;Aparelhament o de pedras para construção, exceto associado à extração;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2391-5/03;2391503;C;Indústrias de transformação;23;239;2391-5;03;Aparelhament o de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2392-3/00;2392300;C;Indústrias de transformação;23;239;2392-3;00;Fabricação de cal e gesso;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2399-1/01;2399101;C;Indústrias de transformação;23;239;2399-1;01;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2399-1/02;2399102;C;Indústrias de transformação;23;239;2399-1;02;Fabricação de abrasivos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2399-1/99;2399199;C;Indústrias de transformação;23;239;2399-1;99;Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2411-3/00;2411300;C;Indústrias de transformação;24;241;2411-3;00;Produção de ferro-gusa;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2412-1/00;2412100;C;Indústrias de transformação;24;241;2412-1;00;Produção de ferroligas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2421-1/00;2421100;C;Indústrias de transformação;24;242;2421-1;00;Produção de semi-acabados de aço;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2422-9/01;2422901;C;Indústrias de transformação;24;242;2422-9;01;Produção de laminados planos de aço ao carbono, revestidos ou não;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2422-9/02;2422902;C;Indústrias de transformação;24;242;2422-9;02;Produção de laminados planos de aços especiais;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2423-7/01;2423701;C;Indústrias de transformação;24;242;2423-7;01;Produção de tubos de aço sem costura;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2423-7/02;2423702;C;Indústrias de transformação;24;242;2423-7;02;Produção de laminados longos de aço, exceto tubos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2424-5/01;2424501;C;Indústrias de transformação;24;242;2424-5;01;Produção de arames de aço;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2424-5/02;2424502;C;Indústrias de transformação;24;242;2424-5;02;Produção de relaminados, trefilados e perfilados de aço, exceto arames;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2431-8/00;2431800;C;Indústrias de transformação;24;243;2431-8;00;Produção de tubos de aço com costura;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2439-3/00;2439300;C;Indústrias de transformação;24;243;2439-3;00;Produção de outros tubos de ferro e aço;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2441-5/01;2441501;C;Indústrias de transformação;24;244;2441-5;01;Produção de alumínio e suas ligas em formas primárias;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2441-5/02;2441502;C;Indústrias de transformação;24;244;2441-5;02;Produção de laminados de alumínio;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2442-3/00;2442300;C;Indústrias de transformação;24;244;2442-3;00;Metalurgia dos metais preciosos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2443-1/00;2443100;C;Indústrias de transformação;24;244;2443-1;00;Metalurgia do cobre;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;19;Não
2449-1/01;2449101;C;Indústrias de transformação;24;244;2449-1;01;Produção de zinco em formas primárias;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2449-1/02;2449102;C;Indústrias de transformação;24;244;2449-1;02;Produção de laminados de zinco;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2449-1/03;2449103;C;Indústrias de transformação;24;244;2449-1;03;Fabricação de ânodos para galvanoplastia;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2449-1/99;2449199;C;Indústrias de transformação;24;244;2449-1;99;Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2451-2/00;2451200;C;Indústrias de transformação;24;245;2451-2;00;Fundição de ferro e aço;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2452-1/00;2452100;C;Indústrias de transformação;24;245;2452-1;00;Fundição de metais não-ferrosos e suas ligas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2511-0/00;2511000;C;Indústrias de transformação;25;251;2511-0;00;Fabricação de estruturas metálicas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2512-8/00;2512800;C;Indústrias de transformação;25;251;2512-8;00;Fabricação de esquadrias de metal;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2513-6/00;2513600;C;Indústrias de transformação;25;251;2513-6;00;Fabricação de obras de caldeiraria pesada;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2521-7/00;2521700;C;Indústrias de transformação;25;252;2521-7;00;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2522-5/00;2522500;C;Indústrias de transformação;25;252;2522-5;00;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2531-4/01;2531401;C;Indústrias de transformação;25;253;2531-4;01;Produção de forjados de aço;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2531-4/02;2531402;C;Indústrias de transformação;25;253;2531-4;02;Produção de forjados de metais não-ferrosos e suas ligas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2532-2/01;2532201;C;Indústrias de transformação;25;253;2532-2;01;Produção de artefatos estampados de metal;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2532-2/02;2532202;C;Indústrias de transformação;25;253;2532-2;02;Metalurgia do pó;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2539-0/01;2539001;C;Indústrias de transformação;25;253;2539-0;01;Serviços de usinagem, tornearia e solda;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2539-0/02;2539002;C;Indústrias de transformação;25;253;2539-0;02;Serviços de tratamento e revestimento em metais;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2541-1/00;2541100;C;Indústrias de transformação;25;254;2541-1;00;Fabricação de artigos de cutelaria;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2542-0/00;2542000;C;Indústrias de transformação;25;254;2542-0;00;Fabricação de artigos de serralheria, exceto esquadrias;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2543-8/00;2543800;C;Indústrias de transformação;25;254;2543-8;00;Fabricação de ferramentas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2550-1/01;2550101;C;Indústrias de transformação;25;255;2550-1;01;Fabricação de equipamento bélico pesado, exceto veículos militares de combate;III;Risco alto;II;II ou III;Risco médio ou moderado, ou risco alto;Não;45;Não
2550-1/02;2550102;C;Indústrias de transformação;25;255;2550-1;02;Fabricação de armas de fogo, outras armas e munições;III;Risco alto;II;II ou III;Risco médio ou moderado, ou risco alto;Não;45;Não
2591-8/00;2591800;C;Indústrias de transformação;25;259;2591-8;00;Fabricação de embalagens metálicas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2592-6/01;2592601;C;Indústrias de transformação;25;259;2592-6;01;Fabricação de produtos de trefilados de metal padronizados;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2592-6/02;2592602;C;Indústrias de transformação;25;259;2592-6;02;Fabricação de produtos de trefilados de metal, exceto padronizados;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2593-4/00;2593400;C;Indústrias de transformação;25;259;2593-4;00;Fabricação de artigos de metal para uso doméstico e pessoal;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2599-3/01;2599301;C;Indústrias de transformação;25;259;2599-3;01;Serviços de confecção de armações metálicas para a construção;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2599-3/02;2599302;C;Indústrias de transformação;25;259;2599-3;02;Serviço de corte e dobra de metais;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2599-3/99;2599399;C;Indústrias de transformação;25;259;2599-3;99;Fabricação de outros produtos de metal não especificados anteriormente;III;Risco alto;II;II ou III;Risco médio ou moderado, ou risco alto;Não;45;Não
2610-8/00;2610800;C;Indústrias de transformação;26;261;2610-8;00;Fabricação de componentes eletrônicos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2621-3/00;2621300;C;Indústrias de transformação;26;262;2621-3;00;Fabricação de equipamentos de informática;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2622-1/00;2622100;C;Indústrias de transformação;26;262;2622-1;00;Fabricação de periféricos para equipamentos de informática;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2631-1/00;2631100;C;Indústrias de transformação;26;263;2631-1;00;Fabricação de equipamentos transmissores de comunicação, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2632-9/00;2632900;C;Indústrias de transformação;26;263;2632-9;00;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2640-0/00;2640000;C;Indústrias de transformação;26;264;2640-0;00;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2651-5/00;2651500;C;Indústrias de transformação;26;265;2651-5;00;Fabricação de aparelhos e equipamentos de medida, teste e controle;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2652-3/00;2652300;C;Indústrias de transformação;26;265;2652-3;00;Fabricação de cronômetros e relógios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2660-4/00;2660400;C;Indústrias de transformação;26;266;2660-4;00;Fabricação de aparelhos eletromédicos e eletroterapêuti cos e equipamentos de irradiação;I;Risco baixo, irrelevante ou inexistente;II;II ou III;Risco médio ou moderado, ou risco alto;Não;45;Não
2670-1/01;2670101;C;Indústrias de transformação;26;267;2670-1;01;Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2670-1/02;2670102;C;Indústrias de transformação;26;267;2670-1;02;Fabricação de aparelhos fotográficos e cinematográfic os, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2680-9/00;2680900;C;Indústrias de transformação;26;268;2680-9;00;Fabricação de mídias virgens, magnéticas e ópticas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2710-4/01;2710401;C;Indústrias de transformação;27;271;2710-4;01;Fabricação de geradores de corrente contínua e alternada, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2710-4/02;2710402;C;Indústrias de transformação;27;271;2710-4;02;Fabricação de transformador es, indutores, conversores, sincronizadore s e semelhantes, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2710-4/03;2710403;C;Indústrias de transformação;27;271;2710-4;03;Fabricação de motores elétricos, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2721-0/00;2721000;C;Indústrias de transformação;27;272;2721-0;00;Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores;III;Risco alto;II;II ou III;Risco médio ou moderado, ou risco alto;Não;45;Não
2722-8/01;2722801;C;Indústrias de transformação;27;272;2722-8;01;Fabricação de baterias e acumuladores para veículos automotores;III;Risco alto;II;II ou III;Risco médio ou moderado, ou risco alto;Não;45;Não
2722-8/02;2722802;C;Indústrias de transformação;27;272;2722-8;02;Recondiciona mento de baterias e acumuladores para veículos automotores;III;Risco alto;II;II ou III;Risco médio ou moderado, ou risco alto;Não;45;Não
2731-7/00;2731700;C;Indústrias de transformação;27;273;2731-7;00;Fabricação de aparelhos e equipamentos para distribuição e controle de energia;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;20;Não
2732-5/00;2732500;C;Indústrias de transformação;27;273;2732-5;00;Fabricação de material elétrico para instalações em circuito de consumo;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2733-3/00;2733300;C;Indústrias de transformação;27;273;2733-3;00;Fabricação de fios, cabos e condutores elétricos isolados;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2740-6/01;2740601;C;Indústrias de transformação;27;274;2740-6;01;Fabricação de lâmpadas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2740-6/02;2740602;C;Indústrias de transformação;27;274;2740-6;02;Fabricação de luminárias e outros equipamentos de iluminação;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2751-1/00;2751100;C;Indústrias de transformação;27;275;2751-1;00;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2759-7/01;2759701;C;Indústrias de transformação;27;275;2759-7;01;Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2759-7/99;2759799;C;Indústrias de transformação;27;275;2759-7;99;Fabricação de outros aparelhos eletrodoméstic os não especificados anteriormente, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2790-2/01;2790201;C;Indústrias de transformação;27;279;2790-2;01;Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2790-2/02;2790202;C;Indústrias de transformação;27;279;2790-2;02;Fabricação de equipamentos para sinalização e alarme;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2790-2/99;2790299;C;Indústrias de transformação;27;279;2790-2;99;Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2811-9/00;2811900;C;Indústrias de transformação;28;281;2811-9;00;Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2812-7/00;2812700;C;Indústrias de transformação;28;281;2812-7;00;Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2813-5/00;2813500;C;Indústrias de transformação;28;281;2813-5;00;Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2814-3/01;2814301;C;Indústrias de transformação;28;281;2814-3;01;Fabricação de compressores para uso industrial, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2814-3/02;2814302;C;Indústrias de transformação;28;281;2814-3;02;Fabricação de compressores para uso não industrial, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2815-1/01;2815101;C;Indústrias de transformação;28;281;2815-1;01;Fabricação de rolamentos para fins industriais;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2815-1/02;2815102;C;Indústrias de transformação;28;281;2815-1;02;Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2821-6/01;2821601;C;Indústrias de transformação;28;282;2821-6;01;Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2821-6/02;2821602;C;Indústrias de transformação;28;282;2821-6;02;Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2822-4/01;2822401;C;Indústrias de transformação;28;282;2822-4;01;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2822-4/02;2822402;C;Indústrias de transformação;28;282;2822-4;02;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2823-2/00;2823200;C;Indústrias de transformação;28;282;2823-2;00;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2824-1/01;2824101;C;Indústrias de transformação;28;282;2824-1;01;Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2824-1/02;2824102;C;Indústrias de transformação;28;282;2824-1;02;Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2825-9/00;2825900;C;Indústrias de transformação;28;282;2825-9;00;Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2829-1/01;2829101;C;Indústrias de transformação;28;282;2829-1;01;Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2829-1/99;2829199;C;Indústrias de transformação;28;282;2829-1;99;Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;21;Não
2831-3/00;2831300;C;Indústrias de transformação;28;283;2831-3;00;Fabricação de tratores agrícolas, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;22;Não
2832-1/00;2832100;C;Indústrias de transformação;28;283;2832-1;00;Fabricação de equipamentos para irrigação agrícola, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;22;Não
2833-0/00;2833000;C;Indústrias de transformação;28;283;2833-0;00;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;22;Não
2840-2/00;2840200;C;Indústrias de transformação;28;284;2840-2;00;Fabricação de máquinas-ferramenta, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;22;Não
2851-8/00;2851800;C;Indústrias de transformação;28;285;2851-8;00;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;22;Não
2852-6/00;2852600;C;Indústrias de transformação;28;285;2852-6;00;Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;22;Não
