sep=;
CNAE;CNAE_numerico;Secao;Secao_descricao;Divisao;Grupo;Classe;Subclasse;Atividade;CBMPE_nivel;CBMPE_descricao;Anexo;Nivel_de_risco;Descricao_do_nivel;Dispensa_licenciamento_previo;Pagina_DOE;Alterado_por_errata
0122-9/00;0122900;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;012;0122-9;00;Floricultura;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;10;Não
0131-8/00;0131800;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0131-8;00;Cultivo de laranja;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;10;Não
0132-6/00;0132600;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0132-6;00;Cultivo de uva;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;10;Não
0133-4/01;0133401;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;01;Cultivo de açaí;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;10;Não
0133-4/02;0133402;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;02;Cultivo de banana;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;10;Não
0133-4/03;0133403;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;03;Cultivo de caju;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;10;Não
0133-4/04;0133404;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;04;Cultivo de cítricos, exceto laranja;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;11;Não
0133-4/05;0133405;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;05;Cultivo de coco-da-baía;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;11;Não
0133-4/06;0133406;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;06;Cultivo de guaraná;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;11;Não
0133-4/07;0133407;A;Agricultura, pecuária, produção florestal, pesca e aquicultura;01;013;0133-4;07;Cultivo de maçã;I;Risco baixo, irrelevante ou inexistente;I;I;Risco baixo, irrelevante ou inexistente;Sim;11;Não
